WellFilterId|StateWellId|FilterMaterialId|FilterMaterialOtherDesc|TopDepth|BottomDepth|Size|CreatedDate|LastUpdateDate
187|20334|10||10|18|6/9|2016-09-19|2016-09-19
188|20335|10||10|19|6/9|2016-09-19|2016-09-19
189|21630|10||675|835||2016-09-19|2016-09-19
190|22607|10||45|160||2016-09-20|2016-09-20
191|22608|10||40|172||2016-09-20|2016-09-20
192|22645|10||1080|1400||2016-09-20|2016-09-20
193|22896|10||966|1322||2016-09-20|2016-09-20
194|22922|10||1160|1400|16/30|2016-09-20|2016-09-20
195|22947|10||1634|1748||2016-09-20|2016-09-20
196|22978|10||1200|1460||2016-09-20|2016-09-20
197|23002|10||1000|1137||2016-09-20|2016-09-20
198|23004|10||2336|2455||2016-09-20|2016-09-20
199|23019|10||1990|2295||2016-09-20|2016-09-20
200|23042|10||1477|1668||2016-09-20|2016-09-20
201|23043|10||1480|1601|16 X 30|2016-09-20|2016-09-20
202|23074|10||10|270||2016-09-20|2016-09-20
203|23084|10||1358|1450||2016-09-20|2016-09-20
204|23087|10||1330|1602|12/20|2016-09-20|2016-09-20
205|23118|10||860|1091|12/20|2016-09-21|2016-09-21
206|23119|10||2550|2695||2016-09-21|2016-09-21
207|23124|10||1217|1500|16/30|2016-09-21|2016-09-21
208|23126|10||2044|2500|16/30|2016-09-21|2016-09-21
209|23154|10||1760|2036|16/30|2016-09-21|2016-09-21
210|23155|10||1595|1735||2016-09-21|2016-09-21
211|23158|10||1655|2008|12/20|2016-09-21|2016-09-21
212|58133|10||230|298||2016-09-21|2016-09-21
213|58134|10||225|707||2016-09-21|2016-09-21
214|139100|10||47|147|16|2016-09-22|2016-09-22
215|23982|10||150|180|pea|2016-09-26|2016-09-26
216|139110|10||140|220|16|2016-09-26|2016-09-26
217|139102|10||20|270|3/8 & 8/16|2016-09-26|2016-09-26
218|139104|10||365|663|12/20 16/3|2016-09-26|2016-09-26
219|139112|10||97|197|16|2016-09-28|2016-09-28
220|139114|10||97|197|16|2016-09-28|2016-09-28
221|23202|10||968|1204||2016-10-04|2016-10-04
222|23203|10||1085|1360|16/30|2016-10-04|2016-10-04
223|23204|10||1040|1420||2016-10-04|2016-10-04
224|23216|10||850|1100||2016-10-04|2016-10-04
225|23217|10||894|1238||2016-10-04|2016-10-04
226|23221|10||820|1120||2016-10-04|2016-10-04
227|23319|10||1070|1315||2016-10-04|2016-10-04
228|23346|10||2000|2432|12/20|2016-10-04|2016-10-04
229|23508|10||360|485||2016-10-04|2016-10-04
230|139131|10||15|201|60/40|2016-10-05|2016-10-05
231|139132|10||10|138|3/8|2016-10-05|2016-10-05
232|139136|10||10|155||2016-10-05|2016-10-05
233|139137|10||10|140||2016-10-05|2016-10-05
234|58699|10||260|360||2016-10-06|2016-10-06
235|57221|10||262|370|12/20|2016-10-06|2016-10-06
236|139140|10||12|200|1/4|2016-10-06|2016-10-06
237|139141|10||11|100|50/50|2016-10-06|2016-10-06
238|59498|10||1080|1202||2016-10-06|2016-10-06
239|139150|10||10|140|3/8|2016-10-07|2016-10-07
240|58843|10||92|192||2016-10-14|2016-10-14
241|139156|10||400|445|16/30|2016-11-08|2016-11-08
243|46637|10||1490|1610||2016-11-22|2016-11-22
244|23030|10||1427|1505||2016-11-22|2016-11-22
245|22644|10||200|235||2016-11-22|2016-11-22
246|24107|10||1010|1275||2016-11-22|2016-11-22
247|51261|10||741|902||2016-11-30|2016-11-30
248|49884|10||80|135||2016-12-05|2016-12-05
249|49882|10||80|135||2016-12-05|2016-12-05
250|49887|10||80|165||2016-12-05|2016-12-05
251|29692|10||10|105|5/8|2016-12-20|2016-12-20
252|28411|10||0|32||2016-12-20|2016-12-20
253|27918|10||11|59||2016-12-20|2016-12-20
254|51306|11|||||2016-12-21|2016-12-21
255|22376|10||34|47||2016-12-21|2016-12-21
256|138396|10||37|47|crushed|2016-12-22|2016-12-22
257|139179|10||1520|1900|8/16|2017-01-04|2017-01-04
258|139180|10||420|500||2017-01-06|2017-01-06
259|78336|10||10|593|3/4|2017-01-11|2017-01-11
260|52866|10||590|790||2017-01-12|2017-01-12
261|52867|10||610|750||2017-01-12|2017-01-12
262|56410|10||725|780||2017-01-12|2017-01-12
263|56751|10||595|705||2017-01-12|2017-01-12
264|57023|10||540|745||2017-01-12|2017-01-12
265|57034|10||692|800||2017-01-12|2017-01-12
266|77810|10|||||2017-01-12|2017-01-12
267|78019|10|||||2017-01-12|2017-01-12
268|127934|10|||||2017-01-12|2017-01-12
269|127938|10||121|510||2017-01-12|2017-01-12
270|77862|10|||||2017-01-18|2017-01-18
271|77958|10|||||2017-01-18|2017-01-18
272|77980|10|||||2017-01-18|2017-01-18
273|78017|10|||||2017-01-18|2017-01-18
274|78030|10|||||2017-01-19|2017-01-19
275|78057|10|||||2017-01-19|2017-01-19
276|135251|10||632|800||2017-01-19|2017-01-19
277|114696|10||165|295||2017-01-19|2017-01-19
278|111217|10||920|1085||2017-01-19|2017-01-19
279|56249|10||60|100||2017-02-14|2017-02-14
280|56253|10||100|193||2017-02-14|2017-02-14
281|131469|10||228|695||2017-02-14|2017-02-14
282|131470|10||158|650||2017-02-14|2017-02-14
283|131471|10||206|582||2017-02-14|2017-02-14
284|32654|10||140|169||2017-02-21|2017-02-21
285|39577|10||0|320||2017-02-21|2017-02-21
286|39578|10||0|350||2017-02-21|2017-02-21
287|45590|10||2|92||2017-02-22|2017-02-22
288|45591|10||28|95||2017-02-22|2017-02-22
289|92953|10||629|731||2017-02-22|2017-02-22
290|96085|10||425|515||2017-02-22|2017-02-22
291|32631|10||168|195.8||2017-02-22|2017-02-22
292|87892|10||250|470||2017-02-22|2017-02-22
293|96445|10||751|1380||2017-02-22|2017-02-22
294|39697|10||80|170||2017-02-22|2017-02-22
295|78527|10||0|705||2017-03-02|2017-03-02
296|78538|10|||||2017-03-02|2017-03-02
297|79354|10||15|250||2017-03-02|2017-03-02
298|78547|10||0|1036||2017-03-02|2017-03-02
299|78583|10||0|1220||2017-03-02|2017-03-02
300|23832|10||150|350|1/4|2017-03-10|2017-03-10
301|23869|10||40|80|pea|2017-03-10|2017-03-10
302|23870|10||330|400|12-20|2017-03-10|2017-03-10
303|23872|10||260|320||2017-03-10|2017-03-10
304|23875|10||80|200|12-20|2017-03-10|2017-03-10
305|24000|10||230|380|.25|2017-03-10|2017-03-10
306|24001|10||250|400|.25|2017-03-10|2017-03-10
307|24002|10||0|125|1/4|2017-03-10|2017-03-10
308|24037|10||170|200|pea|2017-03-10|2017-03-10
309|24044|10||100|160||2017-03-10|2017-03-10
310|24049|10||200|360||2017-03-10|2017-03-10
311|97260|10||360|410||2017-03-15|2017-03-15
312|97341|10||64|98||2017-03-15|2017-03-15
313|97517|10||721|771||2017-03-15|2017-03-15
314|97887|10||800|960||2017-03-15|2017-03-15
315|98058|10||697|760||2017-03-15|2017-03-15
316|99031|10||615|820||2017-03-15|2017-03-15
317|99110|10||1145|1710||2017-03-15|2017-03-15
318|99226|10||1290|1375|375|2017-03-15|2017-03-15
319|99473|10||226|415||2017-03-15|2017-03-15
320|99816|10||560|777||2017-03-15|2017-03-15
321|99923|10||740|1010||2017-03-15|2017-03-15
322|100738|10||500|665||2017-03-16|2017-03-16
323|100739|10||978|1185||2017-03-16|2017-03-16
324|101368|10||390|430||2017-03-16|2017-03-16
325|101418|10||273|420||2017-03-16|2017-03-16
326|101659|10||472|655||2017-03-16|2017-03-16
327|102070|10||700|812||2017-03-16|2017-03-16
328|102513|10||1290|1645||2017-03-16|2017-03-16
329|103361|10||310|350||2017-03-16|2017-03-16
330|104865|10||565|664||2017-03-16|2017-03-16
331|104897|10||500|785||2017-03-17|2017-03-17
332|105363|10||400|673||2017-03-17|2017-03-17
333|108139|10||855|1604||2017-03-20|2017-03-20
334|108234|10||310|407||2017-03-21|2017-03-21
335|109503|10||472|524||2017-03-21|2017-03-21
336|108238|10||1004|1724||2017-03-21|2017-03-21
337|47383|10||200|340||2017-03-21|2017-03-21
338|58248|10|||||2017-03-22|2017-03-22
339|58295|10|||||2017-03-22|2017-03-22
340|58343|10||350|700||2017-03-22|2017-03-22
341|58617|10||311|395||2017-03-22|2017-03-22
342|58814|10||800|860||2017-03-22|2017-03-22
343|94936|10||874|976||2017-03-22|2017-03-22
344|43104|10||90|150|12-20|2017-03-22|2017-03-22
