WellBoreHoleCompletionId|StateWellId|BoreHoleCompletionId|BoreHoleCompletionOtherDesc|CreatedDate|LastUpdateDate
238|7783|13|||
239|7785|13|||
240|7820|13|||
241|7822|13|||
242|7845|105|||
243|7878|105|||
244|7879|13|||
245|7886|13|||
246|7889|13|||
247|7896|12|||
248|7902|13|||
249|7904|105|||
250|7905|13|||
251|7917|105|||
252|7922|13|||
253|7924|13|||
254|7931|13|||
255|7945|13|||
256|7947|105|||
257|7949|105|||
258|7953|13|||
259|7958|13|||
260|7967|13|||
261|7968|13|||
262|7981|13|||
263|7982|13|||
264|7988|13|||
265|7989|13|||
266|7995|13|||
267|7999|106|||
268|8018|13|||
269|8025|13|||
270|8028|13|||
271|8040|13|||
272|8048|13|||
273|8058|13|||
274|8074|13|||
275|8077|13|||
276|8079|13|||
277|8084|13|||
278|8087|106|||
279|8089|13|||
280|8094|13|||
281|8124|13|||
282|8130|105|||
283|8132|13|||
284|8137|105|||
285|8138|105|||
286|8139|106|||
287|8149|13|||
288|8159|13|||
289|8167|105|||
290|1|105|||
291|21|105|||
292|26|105|||
293|28|105|||
294|33|105|||
295|36|13|||
296|38|105|||
297|41|105|||
298|56|106|||
299|82|13|||
300|84|105|||
301|89|13|||
302|93|14|||
303|115|105|||
304|125|11|||2016-07-27
305|139|11|||2016-07-27
306|145|13|||
307|151|11|||2016-07-27
308|175|105|||
309|177|13|||
310|187|14|||
311|189|13|||
312|191|13|||
313|195|13|||
314|197|13|||
315|204|13|||
316|207|13|||
317|212|13|||
318|217|13|||
319|227|105|||
320|239|105|||
321|265|105|||
322|271|13|||
323|273|14|||
324|274|13|||
325|277|105|||
326|286|13|||
327|291|14|||
328|293|13|||
329|305|13|||
330|311|11|||2016-07-27
331|312|105|||
332|319|105|||
333|322|13|||
334|325|105|||
335|327|105|||
336|335|106|||
337|337|105|||
338|344|105|||
339|356|105|||
340|358|105|||
341|1530|105|||
342|1531|105|||
343|1546|106|||
344|1559|105|||
345|1589|13|||
346|1629|13|||
347|1632|105|||
348|1637|105|||
349|1639|13|||
350|1659|105|||
351|1661|13|||
352|1662|105|||
353|1664|105|||
354|1667|105|||
355|1678|105|||
356|1684|13|||
357|1690|105|||
358|1692|105|||
359|1699|13|||
360|1701|13|||
361|1735|105|||
362|1744|13|||
363|1751|105|||
364|1752|105|||
365|1756|105|||
366|1763|105|||
367|1771|13|||
368|1779|13|||
369|1780|13|||
370|1789|13|||
371|1803|13|||
372|1808|13|||
373|1812|105|||
374|1820|104|||
375|1830|105|||
376|1837|105|||
377|1844|105|||
378|1849|105|||
379|1866|11|||2016-07-29
380|1869|105|||
381|1880|13|||
382|1890|13|||
383|1892|12|||
384|1893|13|||
385|1894|105|||
386|1900|105|||
387|1905|105|||
388|1918|105|||
389|1925|105|||
390|1960|105|||
391|1962|105|||
392|1965|105|||
393|1967|105|||
394|1969|13|||
395|1976|11|||2016-08-01
396|1979|105|||
397|1991|105|||
398|1995|105|||
399|1998|105|||
400|2000|105|||
401|2009|105|||
402|2011|105|||
403|2025|105|||
404|2030|105|||
405|2046|105|||
406|2050|105|||
407|2056|105|||
408|2058|105|||
409|2064|105|||
410|2073|105|||
411|2090|105|||
412|2094|105|||
413|2096|105|||
414|2103|105|||
415|2112|106|||
416|2117|105|||
417|2134|106|||
418|2138|106|||
419|2141|13|||
420|2150|106|||
421|2155|105|||
422|2158|106|||
423|2160|106|||
424|2162|105|||
425|2171|105|||
426|2179|105|||
427|2185|105|||
428|2197|105|||
429|2201|105|||
430|2221|105|||
431|2223|105|||
432|2233|105|||
433|2246|105|||
434|2249|105|||
435|2251|105|||
436|2257|106|||
437|2271|11|||2016-08-01
438|2275|106|||
439|2280|106|||
440|2282|106|||
441|2292|106|||
442|2294|106|||
443|2300|105|||
444|2315|105|||
445|2320|105|||
446|2322|105|||
447|2339|106|||
448|4606|105|||
449|4611|105|||
450|4613|105|||
451|4619|105|||
452|4621|105|||
453|4627|13|||
454|4630|105|||
455|4633|13|||
456|4642|13|||
457|4643|13|||
458|4650|105|||
459|4671|105|||
460|4679|13|||
461|4681|105|||
462|4684|105|||
463|4689|105|||
464|4691|105|||
465|4696|105|||
466|4698|106|||
467|4703|13|||
468|4705|105|||
469|4712|105|||
470|4719|105|||
471|4732|105|||
472|4738|105|||
473|4747|105|||
474|4750|13|||
475|4755|105|||
476|4757|105|||
477|4760|13|||
478|4768|13|||
479|4779|13|||
480|4784|13|||
481|4794|105|||
482|4807|105|||
483|4827|105|||
484|4829|105|||
