StateWellId|SealMethodId|SealMethodOtherDesc|CreatedDate|LastUpdateDate
2954|1|Hand Mixed & Poured|2018-04-17|2018-04-17
2970|1|CEMENT GROUT|2018-04-17|2018-04-17
2978|1|CEMENT GROUT|2018-04-17|2018-04-17
2984|1|CEMENT GROUT|2018-04-17|2018-04-17
3019|1|CEMENT GROUT|2018-04-17|2018-04-17
3028|1|CEMENT GROUT|2018-04-17|2018-04-17
3033|1|Cement grout|2016-08-01|2016-08-01
3069|1|CEMENT GROUT|2018-04-17|2018-04-17
3111|1|Hand mixed and poured, sleeve and pitless|2016-08-01|2016-08-01
3182|1|Hand Mixed & Poured|2018-04-17|2018-04-17
3340|1|Cement pressure pump|2016-08-01|2016-08-01
3351|1|CEMENT GROUT|2018-04-17|2018-04-17
3374|1|CEMENT GROUT|2018-04-17|2018-04-17
3381|1|CEMENT GROUT|2018-04-17|2018-04-17
3458|1|Cement grout|2016-08-01|2016-08-01
3475|1|Truck mixed|2016-08-01|2016-08-01
3484|2||2016-08-01|2016-08-01
3548|11||2018-04-17|2018-04-17
3671|1|Hand Mixed & Poured|2018-04-17|2018-04-17
3672|1|Hand Mixed & Poured|2018-04-17|2018-04-17
3679|1|Hand Mixed & Poured|2018-04-17|2018-04-17
3759|12||2017-04-20|2017-04-20
3815|10||2018-04-17|2018-04-17
3816|11||2018-04-17|2018-04-17
3866|11||2016-08-01|2016-08-01
3998|10||2016-08-01|2016-08-01
4268|1|DRY POUR|2018-04-17|2018-04-17
4300|1|Sacrete mixed and poured|2016-08-01|2016-08-01
4368|1|Dry pour|2016-08-01|2016-08-01
4503|10||2016-08-01|2016-08-01
4525|1|Truck mixed|2016-08-01|2016-08-01
4704|10||2016-08-01|2016-08-01
4824|11||2018-04-17|2018-04-17
4947|1|CEMENT GROUT|2018-04-17|2018-04-17
4950|1|tremie pipe|2018-04-17|2018-04-17
4957|14||2016-08-01|2016-08-01
4995|10||2016-08-01|2016-08-01
5034|11||2016-08-01|2016-08-01
5050|1|tremie pipe|2018-04-17|2018-04-17
5210|10||2016-08-01|2016-08-01
5211|1|Tremied under pressure|2016-08-01|2016-08-01
5212|1|Tremied under pressure|2016-08-01|2016-08-01
5213|1|Tremied under pressure|2016-08-01|2016-08-01
5218|10||2016-08-01|2016-08-01
5219|14||2016-08-01|2016-08-01
5220|2||2016-08-01|2016-08-01
5221|1|Tremied under pressure|2016-08-01|2016-08-01
5222|1|Tremied under pressure|2016-08-01|2016-08-01
5226|10||2016-08-01|2016-08-01
5227|10||2016-08-01|2016-08-01
5228|10||2016-08-01|2016-08-01
5229|14||2016-08-01|2016-08-01
5230|1|Pumped through a tremie pipe|2016-08-01|2016-08-01
5231|1|tremmie pressure pumped|2016-08-01|2016-08-01
5232|1|Pressure pumped, tremmie|2016-08-01|2016-08-01
5233|1|Pressure pumped tremmie|2016-08-01|2016-08-01
5234|1|tremmied under pressure|2016-08-01|2016-08-01
5238|1|tremmied under pressure|2016-08-01|2016-08-01
5239|1|Pressure pumped, tremmied|2016-08-01|2016-08-01
5240|1|Pressure pumped, tremmied|2016-08-01|2016-08-01
5241|1|Pressure pumped, tremmied|2016-08-01|2016-08-01
5244|1|Tremied under pressure|2018-04-17|2018-04-17
5249|1|Truck mixed|2018-04-17|2018-04-17
5251|10||2016-08-01|2016-08-01
5252|1|tremmied under pressure|2016-08-01|2016-08-01
5253|1|Pressure pumped, tremmied|2016-08-01|2016-08-01
5279|1|Truck mixed|2016-08-01|2016-08-01
5302|1|Truck mixed|2016-08-01|2016-08-01
5332|1|Truck mixed|2018-04-17|2018-04-17
5340|1|Pressure pumped|2016-08-01|2016-08-01
5341|1|Pressure pumped|2016-08-01|2016-08-01
5342|1|Tremmied and pressure pumped|2016-08-01|2016-08-01
5494|1|Truck mixed|2018-04-17|2018-04-17
5567|18||2018-04-17|2018-04-17
5651|10||2016-08-01|2016-08-01
5669|1|Tremmied under pressure|2016-08-01|2016-08-01
5715|1|Pumped through tremie pipe|2016-08-01|2016-08-01
5734|1|Truck mixed|2016-08-01|2016-08-01
5753|1|Truck mixed|2018-04-17|2018-04-17
5893|2||2016-08-01|2016-08-01
5921|18||2018-04-17|2018-04-17
6125|1|Truck mixed|2016-08-01|2016-08-01
6162|1|Truck Mixed|2017-05-03|2017-05-03
6166|15||2018-04-17|2018-04-17
6167|15||2018-04-17|2018-04-17
6186|15||2016-08-01|2016-08-01
6221|15||2018-04-17|2018-04-17
6276|15||2018-04-17|2018-04-17
6327|11||2018-04-17|2018-04-17
6361|15||2018-04-17|2018-04-17
6370|15||2018-04-17|2018-04-17
6473|1|Truck mixed|2018-04-17|2018-04-17
6474|1|Truck mixed|2018-04-17|2018-04-17
6518|1|Truck mixed|2018-04-17|2018-04-17
6526|11||2018-04-17|2018-04-17
6541|1|mixed|2018-04-17|2018-04-17
6567|1|Truck mixed|2016-08-01|2016-08-01
6643|1|Truck mixed|2018-04-17|2018-04-17
6713|15||2016-08-01|2016-08-01
6925|11||2018-04-17|2018-04-17
6973|11||2016-08-01|2016-08-01
7039|1|Truck mixed|2018-04-17|2018-04-17
7040|1|Truck mixed|2018-04-17|2018-04-17
7041|1|Truck mixed|2018-04-17|2018-04-17
7043|1|Truck mixed|2016-08-01|2016-08-01
7050|10||2016-08-01|2016-08-01
7056|10||2018-04-17|2018-04-17
7102|14||2016-08-01|2016-08-01
7110|10||2016-08-01|2016-08-01
7187|1|Truck mixed|2018-04-17|2018-04-17
7192|1|Truck mixed|2018-04-17|2018-04-17
7193|1|Truck Mixed|2018-04-17|2018-04-17
7194|1|Truck mixed|2018-04-17|2018-04-17
7228|10||2016-08-01|2016-08-01
7248|10||2016-08-01|2016-08-01
7320|1|Truck Mixed|2018-04-17|2018-04-17
7878|1|PRESSURE CEMENTED|2018-04-17|2018-04-17
8189|1|truck mixed / tremmied/ pressure pumped|2018-04-17|2018-04-17
8238|1|Truck mixed|2018-04-17|2018-04-17
8314|15||2016-08-01|2016-08-01
8563|1|Truck mixed|2016-08-01|2016-08-01
8564|1|Truck mixed|2016-08-01|2016-08-01
8565|1|Truck mixed|2016-08-01|2016-08-01
8594|1|Truck mixed|2016-08-01|2016-08-01
8595|1|Truck Mixed|2016-08-01|2016-08-01
8596|1|Truck mixed|2016-08-01|2016-08-01
8600|1|Truck mixed|2016-08-01|2016-08-01
8603|1|Truck Mixed|2018-04-17|2018-04-17
8691|1|Batch Mix|2018-04-17|2018-04-17
8877|1|Truckmixed|2018-04-17|2018-04-17
8974|1|Truck Mixed|2018-04-17|2018-04-17
9029|1|truck mixed|2018-04-17|2018-04-17
9411|1|Pressure pumped|2016-09-16|2016-09-16
9528|1|Truck mixed|2018-04-17|2018-04-17
10049|1|HYDRAULIC FLOW|2018-04-17|2018-04-17
10108|1|Truck mixed|2016-09-16|2016-09-16
10121|1|Pressure pumped|2016-09-16|2016-09-16
10179|1|ReadyMix|2018-04-17|2018-04-17
10393|2||2017-05-25|2017-05-25
10394|2||2016-09-16|2016-09-16
10407|2||2016-09-16|2016-09-16
10416|1|ready mix|2016-09-16|2016-09-16
10716|1|Pressure Cemented|2018-04-17|2018-04-17
10717|1|Tremmie Pipe|2018-04-17|2018-04-17
10718|1|Tremmie Pipe|2018-04-17|2018-04-17
10991|2||2016-09-16|2016-09-16
11005|1|cement slurry|2018-04-17|2018-04-17
11020|2||2018-04-17|2018-04-17
11159|1|Pressured Pump Bottom to Top|2016-09-16|2016-09-16
11420|11||2018-04-17|2018-04-17
11439|1|MIXED|2018-04-17|2018-04-17
11459|11||2018-04-17|2018-04-17
11467|11||2018-04-17|2018-04-17
13009|1|Cement Pressure Pump|2017-05-25|2017-05-25
13507|1|Pressure Cement|2018-04-17|2018-04-17
13849|15||2018-04-17|2018-04-17
13850|15||2018-04-17|2018-04-17
14453|1|Neet Cement|2016-09-16|2016-09-16
14545|1|MIXED WITH WATER POURED FROM TOP|2018-04-17|2018-04-17
15114|1|MIX WITH WATER POUR FROM TOP|2018-04-17|2018-04-17
15129|2||2018-04-17|2018-04-17
15346|1|Positive Displacement Exterior Method|2016-09-16|2016-09-16
15347|1|Positive Displacement Exterior Method|2016-09-16|2016-09-16
15348|1|hand|2018-04-17|2018-04-17
15463|1|Ready mix|2018-04-17|2018-04-17
15475|2||2018-04-17|2018-04-17
15489|2||2018-04-17|2018-04-17
15658|1|MIXED|2018-04-17|2018-04-17
15704|1|Mixed & Poured|2016-09-16|2016-09-16
15759|1|SACRETE|2018-04-17|2018-04-17
15778|1|Truck mixed|2016-09-16|2016-09-16
15789|1|Truck mixed|2016-09-16|2016-09-16
15816|1|Positive placement tremie|2016-09-16|2016-09-16
15851|1|Mixed|2016-09-19|2016-09-19
15852|11||2018-04-17|2018-04-17
15853|1|Sacrete|2016-09-19|2016-09-19
15889|1|MIXED|2018-04-17|2018-04-17
15890|2||2016-09-19|2016-09-19
15909|11||2016-09-19|2016-09-19
15986|11||2016-09-19|2016-09-19
16128|1|Mixed and poured into Amnulus|2016-09-19|2016-09-19
16450|11||2016-09-19|2016-09-19
16697|11||2016-09-19|2016-09-19
16715|1|Portland mixed & poured|2016-09-19|2016-09-19
16729|1|Mix and Poured Sacrete|2016-09-19|2016-09-19
16756|1|measured|2016-09-19|2016-09-19
16775|1|measured|2016-09-19|2016-09-19
16844|11||2016-09-19|2016-09-19
16912|1|DRY POUR|2018-04-17|2018-04-17
16960|1|DRY POUR|2018-04-17|2018-04-17
16987|1|Pressure Pumped|2018-04-17|2018-04-17
16995|1|DRY POUR|2018-04-17|2018-04-17
17099|1|water|2018-04-17|2018-04-17
17603|11||2016-09-19|2016-09-19
17663|2||2018-04-17|2018-04-17
18784|12||2016-09-19|2016-09-19
19124|1|slurry mix|2018-04-17|2018-04-17
19693|11||2018-04-17|2018-04-17
20332|11||2016-09-19|2016-09-19
20333|11||2016-09-19|2016-09-19
20334|11||2016-09-19|2016-09-19
20335|11||2016-09-19|2016-09-19
20557|1|CEMENT SLURRY|2018-04-17|2018-04-17
20561|2||2018-03-13|2018-03-13
20580|1|Cement slurry|2018-04-17|2018-04-17
20581|1|Cement slurry|2018-04-17|2018-04-17
20998|2||2017-04-19|2017-04-19
21022|2||2017-04-19|2017-04-19
21366|1|Haliburton|2017-05-03|2017-05-03
21367|1|Haliburton|2017-05-03|2017-05-03
21384|2|Driller|2017-04-19|2017-04-19
21387|1|Braden Head Squeeze|2018-04-17|2018-04-17
21388|1|Braden Head Squeeze|2018-04-17|2018-04-17
21389|1|Braden Head Squeeze|2018-04-17|2018-04-17
21390|1|Braden Head Squeeze|2018-04-17|2018-04-17
21442|2|Driller|2017-04-11|2017-04-11
21574|2||2018-02-07|2018-02-07
21630|17||2016-09-19|2016-09-19
21639|2||2019-04-16|2019-04-16
21643|1|Haliburton|2017-05-03|2017-05-03
21650|15|Halliburton|2017-04-19|2017-04-19
21651|17||2016-09-20|2016-09-20
21678|15||2018-03-22|2018-03-22
21724|1|Annular sides of casing|2016-11-21|2016-11-21
21819|2||2018-02-08|2018-02-08
21929|1|Halliburton|2016-11-22|2016-11-22
21972|2||2016-09-07|2016-09-07
21975|2||2016-09-13|2016-09-13
21976|17||2017-03-24|2017-03-24
21978|2||2016-12-01|2016-12-01
22170|2||2016-12-21|2016-12-21
22271|2|Driller|2017-04-19|2017-04-19
22578|17||2017-03-28|2017-03-28
22607|14||2016-09-20|2016-09-20
22608|14||2016-09-20|2016-09-20
22611|2||2016-11-22|2016-11-22
22645|17||2016-09-20|2016-09-20
22659|2||2016-11-22|2016-11-22
22660|2||2018-04-11|2018-04-11
22690|17||2016-09-20|2016-09-20
22793|2||2016-11-22|2016-11-22
22807|2||2017-08-01|2017-08-01
22846|17|Halliburton|2017-03-27|2017-03-27
22896|17||2016-09-20|2016-09-20
22901|1|Halliburton|2016-11-22|2016-11-22
22922|1|Halliburtin|2016-09-20|2016-09-20
22947|1|Pump Down Plug|2016-09-20|2016-09-20
22959|2||2016-11-22|2016-11-22
22963|17||2016-09-20|2016-09-20
22978|17||2016-09-20|2016-09-20
23002|17||2016-09-20|2016-09-20
23004|1|Pump down plug|2016-09-20|2016-09-20
23007|2||2018-04-11|2018-04-11
23010|2||2018-04-11|2018-04-11
23011|2||2018-04-11|2018-04-11
23012|1|Circulated from bottom to top|2018-04-11|2018-04-11
23015|16|Cement|2017-03-27|2017-03-27
23019|1|Pump Down Plug|2016-09-20|2016-09-20
23030|2||2016-11-22|2016-11-22
23036|1|Pressure Cement|2018-04-17|2018-04-17
23042|1|Pump Down Plug|2016-09-20|2016-09-20
23043|1|Pump down plug|2016-09-20|2016-09-20
23045|2||2016-11-22|2016-11-22
23057|2||2016-11-21|2016-11-21
23074|1|Displacement|2016-09-20|2016-09-20
23084|1|Pump down plug|2016-09-20|2016-09-20
23087|2||2016-09-20|2016-09-20
23099|11||2018-04-17|2018-04-17
23104|2||2018-05-31|2018-05-31
23110|2||2018-05-31|2018-05-31
23118|17||2016-09-21|2016-09-21
23119|1|Pump Down Plug|2016-09-21|2016-09-21
23124|17||2016-09-21|2016-09-21
23126|15||2016-09-21|2016-09-21
23154|17||2016-09-21|2016-09-21
23155|1|Pump down plug|2016-09-21|2016-09-21
23158|17||2016-09-21|2016-09-21
23173|2||2016-12-01|2016-12-01
23202|1|Pump Down Plug|2016-10-04|2016-10-04
23203|1|halliburtin|2016-10-04|2016-10-04
23204|17||2016-10-04|2016-10-04
23208|2||2018-06-26|2018-06-26
23211|2||2018-06-26|2018-06-26
23216|1|Pressure Cemented|2016-10-04|2016-10-04
23217|1|Circulated from Bottom to Top|2016-10-04|2016-10-04
23221|1|Pressure Tremmie|2016-10-04|2016-10-04
23251|12||2018-04-17|2018-04-17
23252|18||2018-04-17|2018-04-17
23282|17|Halliburton |2016-11-22|2016-11-22
23287|17||2016-10-04|2016-10-04
23319|1|Pump Down Plug|2016-10-04|2016-10-04
23338|2||2020-12-04|2020-12-04
23340|1|PRESSURE TREMMIE|2018-04-17|2018-04-17
23346|17||2016-10-04|2016-10-04
23355|2||2018-06-26|2018-06-26
23356|2||2018-06-26|2018-06-26
23507|2||2019-04-16|2019-04-16
23508|17||2016-10-04|2016-10-04
23617|1|trimmie pipe|2018-04-17|2018-04-17
23638|2||2018-04-17|2018-04-17
23731|12||2018-04-17|2018-04-17
23732|1|Tremmie|2018-04-17|2018-04-17
23737|14||2018-04-17|2018-04-17
23738|1|Gravity Feed|2018-04-17|2018-04-17
23754|2||2016-11-22|2016-11-22
23766|1|Circulated from Bottom to Top|2018-04-17|2018-04-17
23832|11||2017-03-10|2017-03-10
23852|12||2018-04-17|2018-04-17
23856|11||2018-04-17|2018-04-17
23869|12||2017-03-10|2017-03-10
23870|14||2017-03-10|2017-03-10
23872|1|Measured|2017-03-10|2017-03-10
23875|14||2017-03-10|2017-03-10
23883|17||2018-04-17|2018-04-17
23886|12||2018-04-17|2018-04-17
23900|2||2016-11-22|2016-11-22
23917|2||2016-11-22|2016-11-22
23922|1|PRESSURE CEMENTED|2018-04-17|2018-04-17
23960|1|trimmie pipe|2018-04-17|2018-04-17
23962|2||2016-11-22|2016-11-22
23978|1|Haliburton Method|2018-04-17|2018-04-17
23980|12||2018-04-17|2018-04-17
23982|12||2016-09-26|2016-09-26
24000|1|Grout|2017-03-10|2017-03-10
24001|1|Grout|2017-03-10|2017-03-10
24002|13||2017-03-10|2017-03-10
24029|1|Top Poured|2018-04-17|2018-04-17
24036|1|pour|2018-04-17|2018-04-17
24037|12||2017-03-10|2017-03-10
24044|12||2017-03-10|2017-03-10
24049|1|Halliburton|2017-03-10|2017-03-10
24059|14||2018-04-17|2018-04-17
24061|12||2017-03-10|2017-03-10
24069|2||2018-04-17|2018-04-17
24075|2||2016-11-22|2016-11-22
24080|12||2018-04-17|2018-04-17
24081|12||2018-04-17|2018-04-17
24107|2||2016-11-22|2016-11-22
24124|14||2018-04-17|2018-04-17
24161|1|pressure tremie|2018-04-17|2018-04-17
24177|14||2018-04-17|2018-04-17
24184|1|Tremmie|2018-04-17|2018-04-17
24187|14||2018-04-17|2018-04-17
24201|2||2018-05-16|2018-05-16
24202|2||2018-05-16|2018-05-16
24206|2||2016-11-22|2016-11-22
24211|1|Halliburton|2018-05-16|2018-05-16
24212|1|Pressure Cementing|2018-04-17|2018-04-17
24216|2||2018-05-16|2018-05-16
24217|2||2018-05-16|2018-05-16
24227|1|Circulate|2018-04-17|2018-04-17
24229|2||2018-05-16|2018-05-16
24232|1|Halliburton|2018-05-16|2018-05-16
24235|2||2018-05-16|2018-05-16
24290|17||2018-04-17|2018-04-17
24291|17||2018-04-17|2018-04-17
24328|2||2018-05-16|2018-05-16
24329|1|Halliburton|2018-05-16|2018-05-16
24330|1|Pressure cement|2018-04-17|2018-04-17
24332|1|Halliburton|2018-05-16|2018-05-16
24333|1|Circulating|2018-04-17|2018-04-17
24336|15||2018-05-17|2018-05-17
24337|1|PRESSURE CEMENTED|2018-04-17|2018-04-17
24338|15||2018-04-17|2018-04-17
24342|2||2018-05-17|2018-05-17
24353|17|Halliburton|2017-03-28|2017-03-28
24357|2||2018-05-17|2018-05-17
24359|17||2018-04-17|2018-04-17
24395|2||2018-05-17|2018-05-17
24396|14||2018-05-17|2018-05-17
24454|2||2017-04-03|2017-04-03
24485|1|Trimmie Pipe|2018-04-17|2018-04-17
24496|1|Haliburton|2017-05-03|2017-05-03
24509|1|trimmie pipe|2018-04-17|2018-04-17
24581|1|Trimmie Pipe|2018-04-17|2018-04-17
24609|1|Trimmie Pipe|2018-04-17|2018-04-17
24610|1|Trimmie Pipe|2018-04-17|2018-04-17
24627|2|Driller|2017-04-03|2017-04-03
24702|15|Driller|2017-03-29|2017-03-29
24725|2||2020-06-15|2020-06-15
24737|1|circulate|2018-04-17|2018-04-17
24738|1|Circulate|2018-04-17|2018-04-17
24743|1|Solid hydraulics/Haliburton|2018-04-17|2018-04-17
24754|17||2018-04-17|2018-04-17
24757|2||2018-05-17|2018-05-17
24759|1|Circulate|2018-05-17|2018-05-17
24761|15||2018-05-17|2018-05-17
24765|2||2018-05-17|2018-05-17
24766|2||2018-05-17|2018-05-17
24768|15||2018-05-17|2018-05-17
24778|1|Haliburton|2018-06-27|2018-06-27
24791|1|Haliburton|2018-06-27|2018-06-27
24799|17||2018-04-17|2018-04-17
24836|15||2017-04-03|2017-04-03
24837|15||2018-04-17|2018-04-17
26347|2||2017-03-22|2017-03-22
26620|1|Pressure pumped from bottom|2018-04-17|2018-04-17
27030|1|Pressure pumped from bottom|2018-04-17|2018-04-17
27034|1|Pressure pumped from bottom|2018-04-17|2018-04-17
27064|1|Pressure pumped from bottom|2018-04-17|2018-04-17
27076|1|Tremme|2018-04-17|2018-04-17
27077|1|Pressure pumped from bottom|2018-04-17|2018-04-17
27078|1|Pressure pumped from bottom|2018-04-17|2018-04-17
27508|12||2018-04-17|2018-04-17
27918|12||2016-12-20|2016-12-20
29350|12||2018-04-17|2018-04-17
29551|1|POSITIVE DISPLACEMENT EXTERIOR METHOD|2018-04-17|2018-04-17
29692|1|Water Mix|2016-12-20|2016-12-20
30202|1|Hand|2018-04-17|2018-04-17
30303|1|Positive Displacement Exterior Method|2018-04-17|2018-04-17
30411|2||2018-04-17|2018-04-17
30590|2||2018-04-17|2018-04-17
31010|2||2018-04-17|2018-04-17
31014|2||2018-04-17|2018-04-17
31015|2||2018-04-17|2018-04-17
31016|1|tremiee pipe|2018-04-17|2018-04-17
31018|1|trimiee|2018-04-17|2018-04-17
31019|1|timiee pipe|2018-04-17|2018-04-17
31035|1|CEMENT|2018-04-17|2018-04-17
31046|1|Positive Displacement|2018-04-17|2018-04-17
31128|2||2018-04-17|2018-04-17
31259|1|TREMIE PIPE|2018-04-17|2018-04-17
31400|11||2018-04-17|2018-04-17
31429|1|yards|2018-04-17|2018-04-17
31614|1|Hand|2018-04-17|2018-04-17
32148|2||2018-04-17|2018-04-17
32151|14||2017-05-03|2017-05-03
32152|14||2017-05-03|2017-05-03
32153|14||2017-05-03|2017-05-03
32296|15||2018-04-17|2018-04-17
32326|1|Hand|2018-04-17|2018-04-17
32413|1|Hand|2018-04-17|2018-04-17
32436|1|sack-crete|2018-04-17|2018-04-17
32456|1|POSITIVE DISPLACEMENT|2018-04-17|2018-04-17
32570|11||2018-04-17|2018-04-17
32612|1|Mixer|2018-04-17|2018-04-17
32631|1|Bentonite, pellet, chips, grout|2017-02-22|2017-02-22
32654|1|Bentonite, chips, grout|2017-02-21|2017-02-21
32799|1|Hand|2018-04-17|2018-04-17
32810|1|TRUCK|2018-04-17|2018-04-17
32820|1|Mixer|2018-04-17|2018-04-17
32945|1|cement slurry|2018-04-17|2018-04-17
32946|1|cement slurry|2018-04-17|2018-04-17
32948|11||2018-04-17|2018-04-17
32973|2||2018-04-17|2018-04-17
33031|1|ready mix|2018-04-17|2018-04-17
33262|1|Cement|2018-04-17|2018-04-17
33269|1|Readymix Mixwer|2018-04-17|2018-04-17
33378|1|Ready Mix Mixer|2017-05-25|2017-05-25
33384|1|water|2018-04-17|2018-04-17
33597|1|Ready Mix|2018-04-17|2018-04-17
33636|1|water|2018-04-17|2018-04-17
33664|1|water|2018-04-17|2018-04-17
33667|1|CEMENT|2018-04-17|2018-04-17
33731|1|mixed with water|2018-04-17|2018-04-17
33764|1|Pressure Grouted|2018-04-17|2018-04-17
34004|1|Pressure Grout|2018-04-17|2018-04-17
34218|1|ready mix|2018-04-17|2018-04-17
34298|1|PRESSURED PUMP|2018-04-17|2018-04-17
34299|1|PRESSURED PUMP|2018-04-17|2018-04-17
34415|1|Pressure Cemented|2018-04-17|2018-04-17
34585|1|TREMIE PIPE USED PRESSURE PUMPED|2018-04-17|2018-04-17
35174|11||2016-09-07|2016-09-07
35175|11||2016-09-07|2016-09-07
35851|2||2017-08-01|2017-08-01
36483|1|Mixer|2018-03-22|2018-03-22
36637|2||2018-03-26|2018-03-26
36641|2||2018-03-26|2018-03-26
36891|11||2018-03-13|2018-03-13
36892|11||2018-03-13|2018-03-13
37137|1|Cement|2018-04-17|2018-04-17
37143|10|cement|2016-09-08|2016-09-08
37677|1|Pumped down 1" pipe|2018-04-17|2018-04-17
37678|2||2018-04-17|2018-04-17
37679|1|pumped down 1" pipe|2018-04-17|2018-04-17
38306|1|Trimmie Pipe|2018-04-17|2018-04-17
38832|2||2016-12-20|2016-12-20
39018|1|Pressure Pumped|2018-04-17|2018-04-17
39539|1|Pump & trimmie pipe|2018-04-17|2018-04-17
39697|2||2017-02-22|2017-02-22
40738|2||2017-08-01|2017-08-01
40741|15||2018-04-17|2018-04-17
40742|15||2018-04-17|2018-04-17
40743|15||2018-04-17|2018-04-17
40744|15||2018-04-17|2018-04-17
42865|2||2017-04-03|2017-04-03
43104|14||2017-03-22|2017-03-22
43105|14||2017-03-22|2017-03-22
43106|14||2017-03-22|2017-03-22
43107|14||2017-03-22|2017-03-22
43108|14||2017-03-22|2017-03-22
44069|2||2018-04-17|2018-04-17
44801|10|Driller|2017-04-03|2017-04-03
45226|11|Driller|2017-03-29|2017-03-29
45485|1|Postivie Displacement|2018-04-17|2018-04-17
45548|2|Cement|2017-04-03|2017-04-03
45590|1|Haliburton|2017-02-22|2017-02-22
45591|1|Haliburton|2017-02-22|2017-02-22
46296|1|Pos. Disp.|2018-04-17|2018-04-17
46297|1|POS DISP|2018-04-17|2018-04-17
46310|1|Positive Displacement|2018-04-17|2018-04-17
46412|1|PRESSURE CEMENTED|2018-04-17|2018-04-17
46472|1|GROUTED|2018-04-17|2018-04-17
46482|1|Pressure cement with tremmie pipe|2018-04-17|2018-04-17
46508|1|Circulate|2018-04-17|2018-04-17
46511|1|Halliburton Method Circulate|2018-04-17|2018-04-17
46522|1|Trimmie Pipe|2018-04-17|2018-04-17
46532|17||2018-04-17|2018-04-17
46542|16|Driller |2017-03-29|2017-03-29
46578|2||2016-09-07|2016-09-07
46637|2||2016-11-23|2016-11-23
46642|2|Cement|2017-03-28|2017-03-28
46662|1|Trimmie Pipe|2018-04-17|2018-04-17
46738|15||2018-04-17|2018-04-17
46740|15||2018-04-06|2018-04-06
