WellHoleDiameterId|StateWellId|Diameter|TopDepth|BottomDepth|CreatedDate|LastUpdateDate
109|295|9|0|520|2016-07-27|2016-07-27
110|311|9|0|540|2016-07-27|2016-07-27
111|350|9|0|465|2016-07-27|2016-07-27
112|512|9|0|680|2016-07-27|2016-07-27
113|86958|9.75|0|400|2016-07-28|2016-07-28
114|86958|6|400|440|2016-07-28|2016-07-28
115|87896|9|0|40|2016-07-28|2016-07-28
116|87896|6|40|800|2016-07-28|2016-07-28
117|121371|9|0|20|2016-07-28|2016-07-28
118|121371|8|20|360|2016-07-28|2016-07-28
119|64044|7.875|0|20|2016-07-28|2016-07-28
120|64044|6.75|20|100|2016-07-28|2016-07-28
121|139061|9.78|0|460|2016-07-29|2016-07-29
122|616|9|0|555|2016-07-29|2016-07-29
123|631|25|0|550|2016-07-29|2016-07-29
124|632|9|0|560|2016-07-29|2016-07-29
125|635|25|0|592|2016-07-29|2016-07-29
126|652|24|0|551|2016-07-29|2016-07-29
127|669|9|0|565|2016-07-29|2016-07-29
128|738|9|0|625|2016-07-29|2016-07-29
