WellTestId|StateWellId|TestTypeId|TestTypeOtherDesc|Yield|Drawdown|TestHours|WellTestMonth|WellTestDay|WellTestYear|WellTestDate|CreatedDate|LastUpdateDate
44|63946|13||30||0|9|29|1964|1964-09-29|2016-06-24|
45|63957|13||2||0|11|4|1964|1964-11-04|2016-06-24|
46|63958|13||1||0|9|30|1964|1964-09-30|2016-06-24|
47|63964|13||5||0|10|29|1964|1964-10-29|2016-06-24|
48|63965|13||8||0|11|4|1964|1964-11-04|2016-06-24|
49|63974|13||8||0|10|22|1964|1964-10-22|2016-06-24|
50|63976|13||5||0|10|27|1964|1964-10-27|2016-06-24|
51|63980|13||250|276|0|1|22|1968|1968-01-22|2016-06-24|
52|63982|10||225||0|9|16|1964|1964-09-16|2016-06-24|
53|63993|13||30||0|9|17|1964|1964-09-17|2016-06-24|
54|63998|13||6||0|10|13|1964|1964-10-13|2016-06-24|
55|63999|13||10||0|10|8|1964|1964-10-08|2016-06-24|
56|64000|13||1||0|10|8|1964|1964-10-08|2016-06-24|
57|64013|13||40||0|10|22|1964|1964-10-22|2016-06-24|
58|64014|13||10||0|11|11|1964|1964-11-11|2016-06-24|
59|64022|13||25||0|11|11|1964|1964-11-11|2016-06-24|
60|64023|13||18||0|11|14|1964|1964-11-14|2016-06-24|
61|64027|13||1||0|11|11|1964|1964-11-11|2016-06-24|
62|64176|13||15||0|11|5|1964|1964-11-05|2016-06-24|
63|64181|13||20||0|11|13|1964|1964-11-13|2016-06-24|
64|64236|11||40||0|11|13|1964|1964-11-13|2016-06-24|
65|66085|13||250||0|7|10|1984|1984-07-10|2016-06-24|
66|66093|2||250||0|||1946||2016-06-24|
67|66094|10||100||0|3|6|1950|1950-03-06|2016-06-24|
68|66109|10||750|||3||1948||2016-06-24|
69|66109|10||600||0|||1992||2016-06-24|
70|66109|2||334|||8|3|1950|1950-08-03|2016-06-24|
71|66133|13||70||0|5|1|1979|1979-05-01|2016-06-24|
72|66144|13||15||0|11|9|1982|1982-11-09|2016-06-24|
73|66168|13||70||0|8|7|1950|1950-08-07|2016-06-24|
74|66169|2||325|||||1946||2016-06-24|
75|66169|13||200||0|11|26|1948|1948-11-26|2016-06-24|
76|66177|2||163|||8|24|1950|1950-08-24|2016-06-24|
77|66177|2||275|||||1943||2016-06-24|
78|66177|2||180||0|12|9|1949|1949-12-09|2016-06-24|
79|66185|2||400|||||1948||2016-06-24|
80|66185|2||353||0|8|22|1950|1950-08-22|2016-06-24|
81|66187|10||600|25|2|4|18|1951|1951-04-18|2016-06-24|
82|66188|13||40||0|10|17|1977|1977-10-17|2016-06-24|
83|66191|13||200||0|5|31|1999|1999-05-31|2016-06-24|
84|66210|10||60||0|2|20|1992|1992-02-20|2016-06-24|
85|66215|2||453|7|0|7|26|1943|1943-07-26|2016-06-24|
86|66236|2||200||0|||1946||2016-06-24|
87|66253|2||70||2|1|15|1990|1990-01-15|2016-06-24|
88|66265|13||120||0|8|5|1986|1986-08-05|2016-06-24|
89|66272|13||30||0|6|26|1984|1984-06-26|2016-06-24|
90|66336|10||2000|24.3|30|12|4|2004|2004-12-04|2016-06-24|
91|66359|2||5||0|8|15|1967|1967-08-15|2016-06-24|
92|66361|13||25||0|8|15|1967|1967-08-15|2016-06-24|
93|66371|2||28|100|1|3|21|1984|1984-03-21|2016-06-24|
94|66371|2||22|||5|27|1987|1987-05-27|2016-06-24|
95|66372|11||25|40|1|5|15|1984|1984-05-15|2016-06-24|
96|66373|11||30|20|1|10|19|1984|1984-10-19|2016-06-24|
97|66373|2||5|||5|27|1987|1987-05-27|2016-06-24|
98|66385|13||5||0|7|19|1968|1968-07-19|2016-06-24|
