WaterQualityParameterId|WaterQualityParameterCode|ConstituentName|ParameterLongDescription|ParameterShortDescription|ParameterUnitOfMeasure|CreatedDate|LastUpdateDate
1|00010|WATER|TEMPERATURE, WATER (CELSIUS)|TEMP| C  ||
2|00011|WATER|TEMPERATURE, WATER (FAHRENHEIT)|TEMP|FAHN||
3|00090|REDOX|OXIDATION REDUCTION POTENTIAL (ORP), MILLIVOLTS|POTENTAL| MV ||
4|00094|CNDUCTVY|SPECIFIC CONDUCTANCE, FIELD (UMHOS/CM AT 25C)|FIELD|MICR||
5|00095|CNDUCTVY|SPECIFIC CONDUCTANCE (UMHOS/CM @25C)|AT 25C|MICR||
6|00148|HERBICID|HERBICIDES, TOTAL (UG/L)|ES, TOT|UG/L||
7|00154|SULFATE|SULFATE,  TOTAL (MG/L AS S)|S TOT|MG/L||
8|00189|RADIOACT|RADIOACTIVITY, WHOLE WATER (PC/L)|IVITY|PC/L||
9|00191|HYDROGEN|HYDROGEN ION CONCENTRATION, TOTAL (MG/L)|ION TOT|MG/L||
10|00299|DO|OXYGEN, DISSOLVED, ANALYSIS BY PROBE (MG/L)|PROBE|MG/L||
11|00300|DO|OXYGEN, DISSOLVED (MG/L)|DISSOLVE|MG/L||
12|00335|COD|CHEMICAL OXYGEN DEMAND, .025N K2CR207 (MG/L)|LOWLEVEL|MG/L||
13|00387|OZONE|OZONE (MG/L)||MG/L||
14|00400|pH|PH (STANDARD UNITS), FIELD|FIELD| SU ||
15|00403|pH|PH (STANDARD UNITS) LAB|LAB| SU ||
16|00405|CARBON|CARBON DIOXIDE (MG/L AS CO2)|DIOXIDE|MG/L||
17|00410|TALK|ALKALINITY, TOTAL (MG/L AS CACO3)|CACO3|MG/L||
18|00415|PHENOL|ALKALINITY, PHENOLPHTHALEIN (MG/L)|ALKALIN|MG/L||
19|00431|TALK|ALKALINITY TOTAL FIELD (MG/L AS CACO3)|FIELDALK|MG/L||
20|00435|TACDITY|ACIDITY TOTAL (MG/L AS CACO3)|CACO3|MG/L||
21|00437|ACIDITY|ACIDITY, CO2 (PHENOLPH.)(MG/L AS CACO3)|FROM CO2|MG/L||
22|00440|HCO3ION|BICARBONATE ION, CALCULATED (MG/L AS HCO3)|HCO3|MG/L||
23|00445|CO3ION|CARBONATE ION, CALCULATED (MG/L AS CO3)|CO3|MG/L||
24|00447|CO3FLD|CARBONATE,INCREMENTAL TITRATION,FIELD, TOT.(MG/L)|TOTAL|MG/L||
25|00450|BICARB|BICARBONATE,INCREMENT TITRATION,(HCO3)FIELD (MG/L)|FLD TOT|MG/L||
26|00452|CARBONAT|CARBONATE, INCR TITRATION, DISSOLVED, FIELD (MG/L)|DISS FLD|MG/L||
27|00453|BICARB|BICARBONATE, DISSOLVED AS HCO3, FIELD (MG/L)|DISS FLD|MG/L||
28|00480|SALINITY|SALINITY (IN PARTS PER THOUSAND)||PPTH||
29|00597|DISSN2|NITROGEN GAS, DISSOLVED (MG/L OF N)|GASEOUS|MG/L||
30|00600|TOTALN|NITROGEN, TOTAL (MG/L AS N)|AS N|MG/L||
31|00605|ORGN|NITROGEN, ORGANIC, TOTAL (MG/L AS N)|N|MG/L||
32|00607|ORGANIC|NITROGEN, ORGANIC, DISSOLVED (MG/L AS N)|N-DISS|MG/L||
33|00608|NH3-N|NITROGEN, AMMONIA, DISSOLVED (MG/L AS N)|DISS|MG/L||
34|00610|NH3-N|NITROGEN, AMMONIA, TOTAL (MG/L AS N)|TOTAL|MG/L||
35|00612|UN-IONZD|AMMONIA, UNIONIZED (MG/L AS N)|NH3-N|MG/L||
36|00613|NO2-N|NITRITE NITROGEN, DISSOLVED (MG/L AS N)|DISS|MG/L||
37|00615|NO2-N|NITRITE NITROGEN, TOTAL (MG/L AS N)|TOTAL|MG/L||
38|00618|NO3-N|NITRATE NITROGEN, DISSOLVED (MG/L AS N)|DISS|MG/L||
39|00619|UN-IONZD|AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4) (MG/L)|NH3-NH3|MG/L||
40|00620|NITRATE|NITRATE NITROGEN, TOTAL (MG/L AS N)|N TOTAL|MG/L||
41|00623|KJELDAHL|NITROGEN, KJELDAHL, DISSOLVED (MG/L AS N)|DISS N|MG/L||
42|00625|TOTKJEL|NITROGEN, KJELDAHL, TOTAL (MG/L AS N)|N|MG/L||
43|00630|NO2&NO3|NITRITE PLUS NITRATE, TOTAL (MG/L AS N)|N-TOTAL|MG/L||
44|00631|NO2+NO3|NITRITE PLUS NITRATE, DISSOLVED (MG/L AS N)|N- DISS|MG/L||
45|00650|PHOSPHATE|PHOSPHATE, TOTAL (MG/L AS PO4)|PO4 TOT|MG/L||
46|00653|P|PHOSPHATE, TOTAL SOLUABLE (MG/L)|DISS|MG/L||
47|00660|ORTHOPO4|PHOSPHATE, ORTHO (MG/L AS PO4)|PO4|MG/L||
48|00665|PHOS-TOT|PHOSPHORUS, TOTAL (MG/L AS P)|P|MG/L||
49|00666|PHOSPHORUS|PHOSPHORUS, DISSOLVED (MG/L AS P)|P|MG/L||
50|00671|ORTHOPHOSPHATE|PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (MG/L AS P)|ORTHO P|MG/L||
51|00673|PHOS-DIS|PHOSPHORUS, DISSOLVED, ORGANIC (MG/L AS P)|ORGANIC|MG/L||
52|00680|TOTORG|CARBON, TOTAL ORGANIC (MG/L AS C)|CARBON|MG/L||
53|00681|CARBON|CARBON, DISSOLVED ORGANIC (MG/L AS C)|DIS ORG|MG/L||
54|00684|CARBON|CARBON, DISSOLVED, ORGANIC, WHATMAN GF/F (MG/L)|ORG DISS|MG/L||
55|00685|T.INORG|CARBON, TOTAL INORGANIC (MG/L AS C)|CARBON|MG/L||
56|00690|T-CARBON|CARBON, TOTAL (MG/L AS C)|C|MG/L||
57|00691|DIORGC|CARBON, DISSOLVED INORGANIC (MG/L AS C)|C|MG/L||
58|00720|CYANIDE|CYANIDE, TOTAL (MG/L AS CN)|CN-TOT|MG/L||
59|00723|CYANIDE|CYANIDE, DISSOLVED, STD METHOD (UG/L)|DISSOLVE|UG/L||
60|00725|CYANATE|CYANATE (MG/L AS OCN)|OCN|MG/L||
61|00740|SULFITE|SULFITE (MG/L AS SO3)|AS SO3|MG/L||
62|00741|SULFITE|SULFITE (MG/L AS S)|AS S|MG/L||
63|00746|SULFIDE|SULFIDE, DISSOLVED (MG/L AS S)|DISS|MG/L||
64|00900|TOTHARD|HARDNESS, TOTAL, CALCULATED (MG/L AS CACO3)|CACO3|MG/L||
65|00902|NCHARD|HARDNESS, NON-CARBONATE (MG/L AS CACO3)|CACO3|MG/L||
66|00904|HARDNON|HARDNESS NONCARBONATE, DISSOLVED, FIELD AS CaCO3|CARBFELD|MG/L||
67|00910|CALCIUM|CALCIUM (MG/L)|CALCIUM|MG/L||2016-08-08
68|00915|CALCIUM|CALCIUM, DISSOLVED (MG/L AS CA)|CA,DISS|MG/L||
69|00916|CALCIUM|CALCIUM, TOTAL (MG/L AS CA)|CA,TOT|MG/L||
70|00920|MGNSIUM|MAGNESIUM (MG/L)|MAGNESIUM|MG/L||2016-08-08
71|00925|MAGNSIUM|MAGNESIUM, DISSOLVED (MG/L AS MG)|MG,DISS|MG/L||
72|00927|MGNSIUM|MAGNESIUM, TOTAL (MG/L AS MG)|MG,TOT|MG/L||
73|00929|SODIUM|SODIUM, TOTAL (MG/L AS NA)|NA,TOT|MG/L||
74|00930|SODIUM|SODIUM, DISSOLVED (MG/L AS NA)|NA,DISS|MG/L||
75|00931|SODIUM|SODIUM ADSORPTION RATIO, CALCULATED (SAR)|ADSPTION|||
76|00932|PERCENT|SODIUM, CALCULATED, PERCENT|SODIUM|PCT||
77|00933|NA+K|SODIUM PLUS POTASSIUM (MG/L)||MG/L||
78|00935|POTSSIUM|POTASSIUM, DISSOLVED (MG/L AS K)|K,DISS|MG/L||
79|00937|PTSSIUM|POTASSIUM, TOTAL (MG/L AS K)|K,TOT|MG/L||
80|00940|CHLORIDE|CHLORIDE, TOTAL (MG/L AS CL)|TOTAL|MG/L||
81|00941|CHLORIDE|CHLORIDE, DISSOLVED (MG/L AS CL)|DISSOLVE|MG/L||
82|00945|SULFATE|SULFATE, TOTAL  (MG/L AS SO4)|SO4-TOT|MG/L||
83|00946|SULFATE|SULFATE, DISSOLVED (MG/L AS SO4)|SO4,DISS|MG/L||
84|00950|FLUORIDE|FLUORIDE, DISSOLVED (MG/L AS F)|F,DISS|MG/L||
85|00951|FLUORIDE|FLUORIDE, TOTAL (MG/L AS F)|F TOTAL|MG/L||
86|00953|FLUORINE|FLUORINE, TOTAL (UG/L)|TOTAL|UG/L||
87|00955|SILICA|SILICA, DISSOLVED (MG/L AS SI02)|DISOLVED|MG/L||
88|00956|SILICA|SILICA, TOTAL (MG/L AS SIO2)|TOTAL|MG/L||
89|01000|ARSENIC|ARSENIC, DISSOLVED (UG/L AS AS)|AS,DISS|UG/L||
90|01002|ARSENIC|ARSENIC, TOTAL (UG/L AS AS)|AS,TOT|UG/L||
91|01005|BARIUM|BARIUM, DISSOLVED (UG/L AS BA)|BA,DISS|UG/L||
92|01007|BARIUM|BARIUM, TOTAL (UG/L AS BA)|BA,TOT|UG/L||
93|01010|BERYLIUM|BERYLLIUM, DISSOLVED (UG/L AS BE)|BE,DISS|UG/L||
94|01012|BERYLIUM|BERYLLIUM, TOTAL (UG/L AS BE)|BR,TOT|UG/L||
95|01015|BISMUTH|BISMUTH, DISSOLVED (UG/L AS BI)|BI,DISS|UG/L||
96|01017|BISMUTH|BISMUTH, TOTAL (UG/L AS BI)|BI,TOT|UG/L||
97|01020|BORON|BORON, DISSOLVED (UG/L AS B)|B,DISS|UG/L||
98|01022|BORON|BORON, TOTAL (UG/L AS B)|B, TOT|UG/L||
99|01025|CADMIUM|CADMIUM, DISSOLVED (UG/L AS CD)|CD,DISS|UG/L||
100|01027|CADMIUM|CADMIUM, TOTAL (UG/L)|CD,TOT|UG/L||
101|01030|CHROMIUM|CHROMIUM, DISSOLVED (UG/L AS CR)|CR,DISS|UG/L||
102|01034|CHROMIUM|CHROMIUM, TOTAL (UG/L AS CR)|CR,TOT|UG/L||
103|01035|COBALT|COBALT, DISSOLVED (UG/L AS CO)|CO,DISS|UG/L||
104|01037|COBALT|COBALT, TOTAL (UG/L AS CO)|CO,TOT|UG/L||
105|01040|COPPER|COPPER, DISSOLVED (UG/L AS CU)|CU,DISS|UG/L||
106|01042|COPPER|COPPER, TOTAL (UG/L AS CU)|CU,TOT|UG/L||
107|01045|IRON|IRON, TOTAL (UG/L AS FE)|FE,TOT|UG/L||
108|01046|IRON|IRON, DISSOLVED (UG/L AS FE)|FE,DISS|UG/L||
109|01047|FERROUS|IRON, FERROUS (UG/L AS FE)|IRON|UG/L||
110|01049|LEAD|LEAD, DISSOLVED (UG/L AS PB)|PB,DISS|UG/L||
111|01051|LEAD|LEAD, TOTAL (UG/L AS PB)|PB,TOT|UG/L||
112|01055|MANGANESE|MANGANESE, TOTAL (UG/L AS MN)|MN|UG/L||
113|01056|MANGANESE|MANGANESE, DISSOLVED (UG/L AS MN)|MN,DISS|UG/L||
114|01057|THALLIUM|THALLIUM, DISSOLVED (UG/L AS TL)|TL,DISS|UG/L||
115|01059|THALLIUM|THALLIUM, TOTAL (UG/L AS TL)|TOTAL|UG/L||
116|01060|MOLYBDENUM|MOLYBDENUM, DISSOLVED (UG/L AS MO)|DISSOLVE|UG/L||
117|01062|MOLY|MOLYBDENUM, TOTAL (UG/L AS MO)|TOTAL|UG/L||
118|01065|NICKEL|NICKEL, DISSOLVED (UG/L AS NI)|NI,DISS|UG/L||
119|01067|NICKEL|NICKEL, TOTAL (UG/L AS NI)|NI,TOTAL|UG/L||
120|01075|SILVER|SILVER, DISSOLVED (UG/L AS AG)|AG,DISS|UG/L||
121|01077|SILVER|SILVER, TOTAL (UG/L AS AG)|AG,TOT|UG/L||
122|01080|STRONTIUM|STRONTIUM, DISSOLVED (UG/L AS SR)|SR,DISS|UG/L||
123|01082|STRONTUM|STRONTIUM, TOTAL (UG/L AS SR)|SR,TOT|UG/L||
124|01085|VANADIUM|VANADIUM, DISSOLVED (UG/L AS V)|V,DISS|UG/L||
125|01087|VANADIUM|VANADIUM, TOTAL (UG/L AS V)|V, TOT|UG/L||
126|01090|ZINC|ZINC, DISSOLVED (UG/L AS ZN)|ZN,DISS|UG/L||
127|01092|ZINC|ZINC, TOTAL (UG/L AS ZN)|ZN,TOT|UG/L||
128|01095|ANTIMONY|ANTIMONY, DISSOLVED (UG/L AS SB)|SB,DISS|UG/L||
129|01097|ANTIMONY|ANTIMONY, TOTAL (UG/L AS SB)|SB,TOT|UG/L||
130|01100|TIN|TIN, DISSOLVED (UG/L AS SN)|SN,DISS|UG/L||
131|01102|TIN|TIN, TOTAL (UG/L AS SN)|SN,TOT|UG/L||
132|01105|ALUMINUM|ALUMINUM, TOTAL (UG/L AS AL)|AL,TOT|UG/L||
133|01106|ALUMINUM|ALUMINUM, DISSOLVED (UG/L AS AL)|AL, DISS|UG/L||
134|01110|CERIUM|CERIUM, DISSOLVED (UG/L AS CE)|CE,DISS|UG/L||
135|01112|CERIUM|CERIUM, TOTAL (UG/L)|TOTAL|UG/L||
136|01115|CESIUM|CESIUM, DISSOLVED (UG/L AS CS)|CS,DISS|UG/L||
137|01117|CESIUM|CESIUM, TOTAL (PC/L)|TOTAL|PC/L||
138|01125|GERMANUM|GERMANIUM, DISSOLVED (UG/L AS GE)|GE,DISS|UG/L||
139|01130|LITHIUM|LITHIUM, DISSOLVED (UG/L AS LI)|LI,DISS|UG/L||
140|01132|LITHIUM|LITHIUM, TOTAL (UG/L AS LI)|LI,TOT|UG/L||
141|01135|RUBIDIUM|RUBIDIUM, DISS. (UG/L AS RB)|RB|UG/L||
142|01137|RUBIDIUM|RUBIDIUM, TOTAL (UG/L AS RB)|RB, TOT|UG/L||
143|01140|SILICON|SILICON, DISSOLVED (UG/L AS SI)|SI,DISS|UG/L||
144|01142|SILICON|SILICON, TOTAL (UG/L AS SI)|SI,TOT|UG/L||
145|01145|SELENIUM|SELENIUM, DISSOLVED (UG/L AS SE)|SE,DISS|UG/L||
146|01147|SELENIUM|SELENIUM, TOTAL (UG/L)|TOTAL|UG/L||
147|01150|TITANIUM|TITANIUM, DISSOLVED (UG/L AS TI)|TI,DISS|UG/L||
148|01180|LANTHNUM|LANTHANUM, DISS. (UG/L AS LA)|LA|UG/L||
149|01182|LANTHNUM|LANTHANUM, TOTAL (UG/L AS LA)|LA, TOT|UG/L||
150|01194|YTTERBIU|YTTERBIUM, DISS. (UG/L AS Y)|Y|UG/L||
151|01196|YTERBIUM|YTTERBIUM, TOTAL (UG/L AS YB)|Y, TOT|UG/L||
152|01237|NEODYMIU|NEODYMIUM, TOTAL (UG/L)|NE, TOT|UG/L||
153|01241|OSMIUM|OSMIUM, TOTAL (UG/L)|TOTAL|UG/L||
154|01247|HOLMIUM|HOLMIUM,TOTAL  (UG/L)|HO, TOT|UG/L||
155|01490|RAD-GROS|RAD, GROSS, TOTAL SOLIDS|TOT SOL|MG/L||
156|01501|ALPHA|ALPHA, TOTAL (PC/L)|TOTAL|PC/L||
157|01503|ALPHA|ALPHA, DISSOLVED (PC/L)|DISOLVED|PC/L||
158|01515|ALPHAGR|ALPHA, DISSOLVED GROSS, AS URANIUM NATURAL (PC/L)|DISS U|PC/L||
159|01516|ALPHAGR|ALPHA, SUSPENDED GROSS, AS URANIUM NATURAL (PC/L)|SUSPEND|PC/L||
160|03501|BETA|BETA, TOTAL (PC/L)|TOTAL|PC/L||
161|03503|BETA|BETA, DISSOLVED (PC/L)|DISOLVED|PC/L||
162|03511|BETA|BETA, DISSOLVED (PC/GM)|DISSOLVE|PC/M||
163|03515|BETA-GRS|GROSS BETA, DISSOLVED (PC/L AS CS-137)|CS-137|PC/L||
164|03516|BETASUS|BETA, SUSPENDED GROSS, AS CS-137 (PC/L)|GROSS|PC/L||
165|03550|RAD-TOT|TOTAL SPECIFIC RADIOACTIVITY (PC/GR)|SPEC ACT|PC/G||
166|04024|PROPACLR|PROPACHLOR,DISSOLVED,WATER,TOTAL RECOVERABLE(UG/L)|DISS REC|UG/L||
167|04028|BUTYLATE|BUTYLATE,DISSOLVED,WATER,TOTAL RECOVERABLE (UG/L)|DISS REC|UG/L||
168|04029|BROMACIL|BROMACIL,DISSOLVED,WATER,TOTAL RECOVERABLE (UG/L)|DISS REC|UG/L||
169|04035|SIMAZINE|SIMAZINE,DISSOLVED,WATER,TOTAL RECOVERABLE (UG/L)|DISS REC|UG/L||
170|04037|PROMETON|PROMETON,DISSOLVED,WATER,TOTAL RECOVERABLE (UG/L)|DISS REC|UG/L||
171|04040|DETHYLAT|DEETHYLATRAZINE,DISSOLVED,WATER,TOTAL RECOV.(UG/L)|RAZINE|UG/L||
172|04041|CYANAZIN|CYANAZINE,DISSOLVED,WATER,TOTAL RECOVERABLE (UG/L)|DISS REC|UG/L||
173|04095|FONOFOS|FONOFOS,DISSOLVED,WATER,TOTAL RECOVERABLE (UG/L)|DISS REC|UG/L||
174|04241|ALPHA|GROSS ALPHA RADIATION,TOTAL, PRODUCED WATER(pCi/L)|GRSSALPH|pCi/L||
175|04242|BETA|GROSS BETA RADIATION, TOTAL, PRODUCED WATER(pCi/L)|GRSSBETA|pCi/L||
176|04254|METLAXYL|METALAXYL, WHOLE WATER (UG/L)|TOTAL|UG/L||
177|04413|DIBROCHL|1,2-DIBROMO-3-CHLOROPROPANE, TOTAL (UG/L)|PROPANE|UG/L||
178|04442|AMINHYDX|DIAMINOHYDROXYATRAZINE (GS-17791), TOTAL (UG/L)|ATRAZINE|UG/L||
179|04720|TPH|TOTAL PETROLEUM HYDROCARNON mg/L|WATER|mg/L||
180|05501|GAMMA|GAMMA, TOTAL (PC/L)|TOTAL|PC/L||
181|05503|GAMMA|GAMMA, DISSOLVED (PC/L)|DISSOLVE|PC/L||
182|07000|TRITIUM|TRITIUM, TOTAL (PCI/L)|TOTAL|pCi/L||
183|07012|TRITIUM|TRITIUM IN WATER (TRITIUM UNITS)|IN H2O|TU  ||
184|07013|TRITIUM COUNTING ERROR|TRITIUM COUNTING ERROR|eTU|TU  ||
185|07017|TRITIUM|TRITIUM, TOTAL (TRITIUM UNITS)|TOTAL|TU  ||
186|07018|TRITIUM|TRITIUM, DISSOLVED (TRITIUM UNITS)|DISSOLVE|TU  ||
187|07140|SULFUR|SULFUR 35, DISSOLVED, PC/L|35 DISS|PC/L||
188|07144|SULFUR|SULFUR 35, TOTAL, PC/L|TOTAL|PC/L||
189|09501|RA-226|RADIUM 226, TOTAL, PC/L|TOTAL|PC/L||
190|09503|RA-226|RADIUM 226, DISSOLVED, PC/L|DISOLVED|PC/L||
191|09511|RA-226|RADIUM 226, DISSOLVED, RADON METHOD, PC/L|DISS RAD|PC/L||
192|11500|RA-226+|RADIUM 226 + RADIUM 228, DISSOLVED, PC/L|228 DISS|PC/L||
193|11501|RA-228|RADIUM 228, TOTAL, PC/L|TOTAL|PC/L||
194|11503|RA-226+|RADIUM 226 + RADIUM 228, TOTAL, PC/L|228 TOT|PC/L||
195|17792|PROPHYDX|DEISOPROPYLHYDROXYATRAZINE (G-17792), TOTAL, UG/L|ATRAZINE|UG/L||
196|17794|DEETHYL|DEETHYLHYDROXYATRAZINE (G-17794), TOTAL, UG/L|ATRAZINE|UG/L||
197|22501|THORIUM|THORIUM 232, TOTAL, PCI/L|232 TOT|pCi/L||
198|22505|THORIUM|THORIUM 228, TOTAL, PCI/L|228 TOT|pCi/L||
199|22601||URANIUM AS U-238, TOTAL|U-238|PC/L||
200|22603|URANIUM|URANIUM 238, DISSOLVED, PC/L|U 238|PC/L||
201|22606||URANIUM AS U-234, TOTAL|U-234|PC/L||
202|22610|234U|URANIUM 234, DISSSOLVED, PC/L|URANIUM|PC/L||
203|22620|235U|URANIUM 235, DISSOLVED, PC/L|URANIUM|PC/L||
204|22622||URANIUM AS U-235, TOTAL|U-235|PC/L||
205|22678|ARSENIC|ARSENIC, DISSOLVED ORGANIC, UG/L|DISS ORG|UG/L||
206|22703|U-NAT|URANIUM, NATURAL, DISSOLVED (UG/L AS U)|U,DISS.|UG/L||
207|22706|URANIUM|URANIUM,TOTAL  UG/L AS U3O8|U, TOT|UG/L||
208|26403|THORIUM|THORIUM, NATURAL, DISSOLVED  PC/L|NAT DISS|PC/L||
209|26501|THORIUM|THORIUM 230, TOTAL, PCI/L|230 TOT|pCi/L||
210|28004|CARBON-14, APPARENT AGE|CARBON-14 DISS APPARENT AGE (YEARS BP)|C14-DISS|Y-BP||
211|28012|URANIUM|URANIUM, NATURAL, TOTAL (PC/L AS U)|NAT TOT|PC/L||
212|28273|DIAMINCH|DIAMINOCHLOROATRAZINE (G-28273), WHOLE WATER, UG/L|ATRAZINE|UG/L||
213|28401|CESIUM|CESIUM 137, TOTAL, PC/L|137 TOT|PC/L||
214|28403|CESIUM|CESIUM 137, DISSOLVED, PC/L|137 DISS|PC/L||
215|28410|CESIUM|CESIUM 134, DISSOLVED, PC/L|134 DISS|PC/L||
216|28414|CESIUM|CESIUM 134, TOTAL, PC/L|134 TOT|PC/L||
217|30009|MERPHOS|MERPHOS, TOTAL RECOVERABLE, UG/L|TOTAL|UG/L||
218|30190|DICLPROP|DICHLORPROP, TOTAL, UG/L|TOTAL|UG/L||
219|30191|DINOSEB|DINOSEB, TOTAL, UG/L|TOTAL|UG/L||
220|30217|DIBROMO|DIBROMOMETHANE, WATER, WHOLE RECOVERABLE, UG/L|METHANE|UG/L||
221|30234|BROMACIL|BROMACIL, WATER, WHOLE, RECOVERABLE, UG/L|TOT REC|UG/L||
222|30235|BUTACHLR|BUTACHLOR, WATER, WHOLE, RECOVERABLE, UG/L|TOT REC|UG/L||
223|30236|BUTYLATE|BUTYLATE, WATER, WHOLE, RECOVERABLE, UG/L|TOT REC|UG/L||
224|30245|CARBOXIN|CARBOXIN, WATER, WHOLE, RECOVERABLE, UG/L|TOT REC|UG/L||
225|30254|CYCLOATE|CYCLOATE, WATER, WHOLE, RECOVERABLE, UG/L|TOT REC|UG/L||
226|30255|DIPHNAMD|DIPHENAMID, WATER, WHOLE, RECOVERABLE, UG/L|TOT REC|UG/L||
227|30264|HEXAZNON|HEXAZINONE, WATER, WHOLE, RECOVERABLE, UG/L|TOT REC|UG/L||
228|30295|PROPACLR|PROPACHLOR, WATER, WHOLE, RECOVERABLE, UG/L|TOT REC|UG/L||
229|30311|TERBACIL|TERBACIL, WATER, WHOLE, RECOVERABLE, UG/L|TOT REC|UG/L||
230|30324|VERNOLAT|VERNOLATE, TOTAL, UG/L|TOTAL|UG/L||
231|31666|TPH-WTR|TOTAL PETROLEUM HYDROCARBONS IN WATER|TPH-WTR|MG/L||
232|31674|STREP|STREPTOCOCCI, FECAL 10/ML|FECAL|10/M||
233|31699|Ecoli|E-Coli By IDEXX (MPN/100mL)|E-Coli|MPN ||
234|32017|NACL|SODIUM CHLORIDE (NACL), MG/L|SALT|MG/L||
235|32101|DICLBRMT|BROMODICHLOROMETHANE, TOTAL, UG/L|TOTAL|UG/L||
236|32102|CARBON|CARBON TETRACHLORIDE, TOTAL, UG/L|TET, TOT|UG/L||
237|32103|12DICLOR|1,2-DICHLOROETHANE, TOTAL, UG/L|ETHANE|UG/L||
238|32104|BROMOFRM|BROMOFORM, TOTAL, UG/L|TOTAL|UG/L||
239|32105|CLDIBRMT|DIBROMOCHLOROMETHANE, TOTAL, UG/L|TOTAL|UG/L||
240|32106|CHLORO|CHLOROFORM, TOTAL, UG/L|FORM TOT|UG/L||
241|32730|PHENOLS|PHENOLS, TOTAL (UG/L)|TOTAL|UG/L||
242|34010|TOLUENE|TOLUENE IN WTR SMPL GC-MS, HEXADONE EXTR. (UGL/)|TOTAL|UG/L||
243|34030|BENZENE|BENZENE IN WTR SMPL GC-MS, HEXADECONE EXTR.(UG/L)|TOTAL|UG/L||
244|34200|ACENAPH|ACENAPHTHYLENE, TOTAL, UG/L|THYLENE|UG/L||
245|34201|ACENAPH|ACENAPHTHYLENE, DISSOLVED, UG/L|THYLENE|UG/L||
246|34205|ACENAPH|ACENAPHTHENE, TOTAL, UG/L|THENE T|UG/L||
247|34206|ACENAPH|ACENAPHTHENE, DISSOLVED, UG/L|THENE|UG/L||
248|34210|ACROLEIN|ACROLEIN, TOTAL, UG/L|TOTAL|UG/L||
249|34211|ACROLEIN|ACROLEIN, DISSOLVED, UG/L|DISSOLVE|UG/L||
250|34215|ACRYLONI|ACRYLONITRILE, TOTAL, UG/L|TRIL TOT|UG/L||
251|34216|ACRYLONI|ACRYLONITRILE, DISSOLVED, UG/L|TRILE|UG/L||
252|34220|ANTHRACE|ANTHRACENE, TOTAL, UG/L|NE TOT|UG/L||
253|34221|ANTHRA|ANTHRACENE, DISSOLVED, UG/L|CENE DIS|UG/L||
254|34226|ASBESTOS|ASBESTOS (FIBROUS), DISSOLVED, UG/L|DISS|UG/L||
255|34230|BENZOBFL|BENZO(B)FLUORANTHENE, TOTAL, UG/L|UORANTHN|UG/L||
256|34231|BENZBFLU|BENZO(B)FLUORANTHENE, DISSOLVED, UG/L|RANTHENE|UG/L||
257|34235|BENZENE|BENZENE, DISSOLVED, UG/L|DISS|UG/L||
258|34239|BENZIDIN|BENZIDINE, DISSOLVED, UG/L|DISSOLVE|UG/L||
259|34242|BENZOKFL|BENZO(K)FLUORANTHENE, TOTAL, UG/L|UORANTHN|UG/L||
260|34243|BENZO(K)|BENZO(K)FLUORANTHENE, DISSOLVED, UG/L|FLOURANT|UG/L||
261|34247|BENZOA|BENZO-(A)-PYRENE, TOTAL, UG/L|PYRENE|UG/L||
262|34248|BENZOA|BENZO(A) PYRENE, DISSOLVED, UG/L|PYRENE|UG/L||
263|34253|ALPHABHC|A-BHC-ALPHA, TOTAL, UG/L|TOTAL|UG/L||
264|34255|BHC-BETA|B-BHC-BETA, TOTAL, UG/L|TOTAL|UG/L||
265|34273|BIS2CLR|BIS (2-CHLOROETHYL) ETHER, TOTAL, UG/L|ETHLETHR|UG/L||
266|34274|BIS2CHLO|BIS(2-CHLOROETHYL) ETHER, DISSOLVED, UG/L|ROETHYLE|UG/L||
267|34278|BIS2CLOR|BIS (2-CHLOROETHOXY) METHANE, TOTAL, UG/L|OXYMETHN|UG/L||
268|34279|BIS2CHLO|BIS(2-CHLOROETHOXY)METHANE, DISSOLVED, UG/L|ROETHOXY|UG/L||
269|34283|BIS2CLRI|BIS (2-CHLOROISOPROPYL) ETHER, TOTAL, UG/L|PORPETHR|UG/L||
270|34284|BIS2CHLO|BIS(2-CHLOROISOPROPYL) ETHER, DISSOLVED, UG/L|ROISOPRO|UG/L||
271|34288|BROMFORM|BROMOFORM, DISSOLVED, UG/L|DISSOLVE|UG/L||
272|34297|CARBONTE|CARBON TETRACHLORIDE, DISSOLVED, UG/L|TRACHLOR|UG/L||
273|34301|CHLORO|CHLOROBENZENE, TOTAL, UG/L|BENZENE|UG/L||
274|34302|CHLORO|CHLOROBENZENE, DISSOLVED, UG/L|BENZENE|UG/L||
275|34307|CHLORO|CHLORODIBROMOMETHANE, TOTAL, UG/L|BROMETH|UG/L||
276|34311|CHLORO|CHLOROETHANE, TOTAL, UG/L|ETHANE|UG/L||
277|34312|CHLORO|CHLOROETHANE, DISSOLVED, UG/L|ETHANE|UG/L||
278|34316|CHLORO|CHLOROFORM, DISSOLVED, UG/L|FORM DIS|UG/L||
279|34320|CHRYSENE|CHRYSENE, TOTAL, UG/L|TOTAL|UG/L||
280|34321|CHRYSENE|CHRYSENE, DISSOLVED, UG/L|DISSOLVE|UG/L||
281|34327|DINBUTYL|DI-N-BUTYL PHTHALATE, DISSOLVED, UG/L|PHTHALAT|UG/L||
