WaterQualityParameterId|WaterQualityParameterCode|ConstituentName|ParameterLongDescription|ParameterShortDescription|ParameterUnitOfMeasure|CreatedDate|LastUpdateDate
625|49991|METHYL|METHYL ACRYLATE, WATER UNFILTERED, REC|ACRYLATE|UG/L||
626|49999|PREHNIT-|PREHNITENE, WATER, UNFILTERED, REC|ENE REC|UG/L||
627|50000|ISODUREN|ISODURENE, WATER, UNFILTERED, RECOVER|REC|UG/L||
628|50001|TRANS12|TRANS-1,2-DICHLOROETHYLENE, TOTAL, UG/L|DICHLETH|UG/L||
629|50002|TRANS13|TRANS-1,3-DICHLOROPROPYLENE, TOTAL, UG/L|DICHLPRO|UG/L||
630|50003|CIS1,3|CIS-1,3-DICHLOROPROPYLENE, TOTAL, UG/L|DICHLPRO|UG/L||
631|50004|ETHERTRT|ETHER TERTBUTYL ETHYL, UNFILTERED, REC|BUTETHYL|UG/L||
632|50005|ETHRTERT|ETHER TERTPENTYL METHYL, UNFILTERED, REC|PNTMETHL|UG/L||
633|50577|HOLMIUM|HOLMIUM, DISSOLVED (UG/L AS HO)|HO|UG/L||
634|50790|OXYGEN-18|OXYGEN-18, EXPRESSED AS PERMIL VSMOW|DEL.18-O|0/00||
635|50791|DEUTERIUM|DEUTERIUM, EXPRESSED AS PERMIL VSMOW|DELTA D|0/00||
636|50938|A/C|ANION/CATION CHG BAL, PERCENT|A/C BAL|PCT ||
637|50982|OXYGEN-18/OXYGEN-16|OXYGEN-18/OXYGEN-16 OF SULFATE (RATIO PER MIL)|STA.ISOT|0/00||
638|51002|26DINITR|2,6-DINITRO-2-CRESOL, TOTAL, UG/L|2-CRESOL|UG/L||
639|51003|BUTYLBEN|BUTYLBENZYL PHTHALATE, TOTAL, UG/L|PHTHALAT|UG/L||
640|51004|DIBENZO|DIBENZO (A,H) ANTHRACENE, TOTAL, UG/L|ANTHRACN|UG/L||
641|51005|4,4'-DDE|4,4'-DDE, TOTAL, UG/L|TOTAL|UG/L||
642|51006|4,4'-DDD|4,4'-DDD, TOTAL, UG/L|TOTAL|UG/L||
643|51007|4,4'-DDT|4,4'-DDT, TOTAL, UG/L|TOTAL|UG/L||
644|51008|4,6DNTRO|4,6-DINITRO-2-CRESOL IN WHOLE WATER, (UG/L)|2CRESOL|UG/L||
645|60001|PENTANE|PENTANE, TOTAL, UG/L|TOTAL|UG/L||
646|60002|PENTYLCY|PENTYL CYCLOPROPANE, TOTAL, UG/L|PENTANE|UG/L||
647|60003|METHYLET|METHYLETHYL PHENOL, TOTAL, UG/L|HYLPHENL|UG/L||
648|60004|HYDIMETH|HYDROXY-DIMETHYL-BENZOPYRANONE, TOTAL, UG/L|BENPYRAN|UG/L||
649|60005|DIMETHBN|DIMETHYL-BENZO-DIPYRAN-2-ONE, TOTAL, UG/L|DYPYRN21|UG/L||
650|60006|CYCLOHEP|CYCLOHEPTATRIENE, TOTAL, UG/L|TATRIENE|UG/L||
651|60007|ETHENYL|ETHENYL BENZENE, TOTAL, UG/L|BENZENE|UG/L||
652|60008|BICYCLO|BI-CYCLO-OCTA-TRIENE, TOTAL, UG/L|8-TRIENE|UG/L||
653|60009|DICLORME|DICHLORO-METHYL-BUTANE, TOTAL, UG/L|THL-BUTN|UG/L||
654|60010|DIMETHYL|DIMETHYL HEXENE, TOTAL, UG/L|HEXENE|UG/L||
655|60012|2-METHYL|2-METHYL PROPANE, TOTAL, UG/L|PROPANE|UG/L||
656|60013|2-METHYL|2-METHYL BUTANE, TOTAL, UG/L|BUTANE|UG/L||
