date,Coal,Hydro,Nuclear,Other,Wind,NGas
2010-02-20,287797.6886,677.199332,90247.79591,1448.401509,127634.0793,175852.48722
2010-02-21,275344.0735,652.171042,90218.19401,2156.836019,133731.6214,186164.80229999998
2010-02-22,308718.3292,746.998716,90107.11192,2515.763916,88762.07269,272991.41305
2010-02-23,332324.6177,718.603963,90107.73464,6583.118486,43816.85909,302144.99165
2010-02-24,293310.882,650.587084,89605.83294,8370.350019,127683.9953,279168.44722
2010-02-25,300298.5492,657.892852,89489.53265,2306.738948,104937.2023,218548.94861999998
2010-02-26,323695.874,497.788099,107248.1144,3180.672544,28858.32457,261907.26111
2010-02-27,321423.2241,471.221225,123696.7495,2241.952744,69011.65119,215541.59404999999
2010-02-28,267057.7136,458.314019,123804.1359,3909.347413,128449.2541,171524.97109
2010-03-01,314382.5618,688.188469,123698.9507,6215.160253,89545.5535,196172.14657
2010-03-02,331652.1402,725.544607,123913.3569,5173.125379,85132.24691,227968.22129000002
2010-03-03,394072.9002,2093.46814,122121.0682,12222.31297,16164.56854,279463.64713
2010-03-04,372231.7358,2060.737938,122262.4411,7321.654277,26042.21233,215904.31037000002
2010-03-05,341783.0562,1999.311408,122448.1124,6235.895748,36817.03666,175591.53365
2010-03-06,342497.5261,2094.563059,122595.3095,10108.16774,53446.6261,191396.75822
2010-03-07,328625.868,1992.178845,122610.6908,6994.89251,78475.08963,187897.52472000002
2010-03-08,344527.2322,2052.090251,122704.2515,7457.777385,44736.63576,214613.91689
2010-03-09,354015.3672,2021.871213,122779.7871,12033.684,31990.42295,231902.93109
2010-03-10,345566.9381,2023.069379,122820.8185,11366.09684,41977.03877,237020.04543
2010-03-11,320865.608,1850.050108,122655.2463,5498.220896,64444.86046,220349.9101
2010-03-12,311269.0016,1760.36525,122576.6799,5231.515184,83968.24484,224598.75135
2010-03-13,368233.6431,1714.228307,122592.0859,8191.045157,30434.68751,312134.14668999997
2010-03-14,370059.3193,1666.422233,122344.476,11349.65085,21525.89815,311311.17965
2010-03-15,344476.5079,1616.318949,122727.4779,11149.85928,39899.38312,272486.58871000004
2010-03-16,362033.2076,1776.680237,122882.1356,3887.483885,21442.58511,232903.71076
2010-03-17,340189.0153,2022.257179,122907.3658,3440.227297,49738.57101,214276.52380999998
2010-03-18,308194.9493,2014.968036,122626.5745,2484.778396,56259.79945,207297.79393
2010-03-19,299549.5315,2016.550411,122803.7426,2095.650959,72684.48977,207102.5988
2010-03-20,331451.1256,2019.571912,122752.4145,7120.669557,67800.3341,275923.9312
2010-03-21,357014.1852,2084.345163,122592.5061,8566.621754,33499.85228,305530.43893
2010-03-22,361561.2422,2085.45409,122560.9596,9060.049533,27033.93725,313602.69073
2010-03-23,343274.4425,2089.373088,122484.595,7144.410348,82527.95589,280649.60093
2010-03-24,344214.3891,1997.255257,122563.1388,7177.38486,85466.35467,267510.00823
2010-03-25,308378.6171,1684.709403,122666.3537,7160.263935,79718.85533,252029.69135
2010-03-26,298648.6266,1777.30041,122706.8423,7463.335206,95231.80921,251105.81735
2010-03-27,303194.914,1603.212966,122681.8286,7482.105421,122940.7525,308472.61228999996
2010-03-28,329274.8898,1855.238983,122690.2246,7540.182965,49405.37425,337442.91951000004
2010-03-29,303525.7349,1883.649993,122582.0525,7191.800572,56219.74319,351532.07378000004
2010-03-30,305984.8528,1739.395687,122885.9067,3466.74049,63794.74403,242495.08724000002
2010-03-31,294287.9843,1547.608863,122241.9044,1854.315441,48687.11496,211710.16411
