,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
830,2016-03-30,434990.42476037913,293157.1835462186,647468.9720039056,434990.42476037913,434990.42476037913,27978.98780481604,27978.98780481604,27978.98780481604,6275.53651745422,6275.53651745422,6275.53651745422,21703.45128736182,21703.45128736182,21703.45128736182,0.0,0.0,0.0,462969.4125651952
831,2016-03-31,434970.66407672287,287191.8292780484,637215.2421831549,434970.66407672287,434970.66407672287,30009.84538126691,30009.84538126691,30009.84538126691,2363.3261343869613,2363.3261343869613,2363.3261343869613,27646.519246879943,27646.519246879943,27646.519246879943,0.0,0.0,0.0,464980.50945798977
832,2016-04-01,434950.90339306655,285133.0253500979,647060.2936366957,434950.90339306655,434950.90339306655,28176.732280013846,28176.732280013846,28176.732280013846,-5084.718113663469,-5084.718113663469,-5084.718113663469,33261.45039367731,33261.45039367731,33261.45039367731,0.0,0.0,0.0,463127.6356730804
833,2016-04-02,434931.1427094102,308908.4309058103,633140.0816250687,434931.1427094102,434931.1427094102,37625.56514090385,37625.56514090385,37625.56514090385,-837.1366326418815,-837.1366326418815,-837.1366326418815,38462.701773545734,38462.701773545734,38462.701773545734,0.0,0.0,0.0,472556.7078503141
834,2016-04-03,434911.38202575385,315667.6019259091,661873.4518565014,434911.38202575385,434911.38202575385,46069.038260446054,46069.038260446054,46069.038260446054,2891.201047657895,2891.201047657895,2891.201047657895,43177.83721278816,43177.83721278816,43177.83721278816,0.0,0.0,0.0,480980.4202861999
835,2016-04-04,434891.6213420976,307359.34962460917,656202.5373095691,434891.6213420976,434891.6213420976,45297.87828749827,45297.87828749827,45297.87828749827,-2051.9935752182405,-2051.9935752182405,-2051.9935752182405,47349.871862716514,47349.871862716514,47349.871862716514,0.0,0.0,0.0,480189.49962959584
836,2016-04-05,434871.86065844126,310230.0565009689,652147.7879164976,434871.86065844126,434871.86065844126,47382.951979940364,47382.951979940364,47382.951979940364,-3556.2153779578002,-3556.2153779578002,-3556.2153779578002,50939.16735789816,50939.16735789816,50939.16735789816,0.0,0.0,0.0,482254.8126383816
837,2016-04-06,434852.09997478494,307420.2060006377,668606.4366041964,434852.0999747849,434852.0999747849,60200.3535943621,60200.3535943621,60200.3535943621,6275.5365174469625,6275.5365174469625,6275.5365174469625,53924.81707691515,53924.81707691515,53924.81707691515,0.0,0.0,0.0,495052.45356914704
838,2016-04-07,434832.3392911286,324696.9423135914,655299.2047398664,434832.3392911286,434832.3392911286,58668.80179837446,58668.80179837446,58668.80179837446,2363.326134376516,2363.326134376516,2363.326134376516,56305.47566399794,56305.47566399794,56305.47566399794,0.0,0.0,0.0,493501.1410895031
839,2016-04-08,434812.57860747236,304262.7206515166,650889.4926201209,434812.57860747236,434812.57860747236,53014.88495346848,53014.88495346848,53014.88495346848,-5084.718113661135,-5084.718113661135,-5084.718113661135,58099.60306712962,58099.60306712962,58099.60306712962,0.0,0.0,0.0,487827.4635609408
